c_date,option_symbol,dte,stocks_id,expiration_date,call_put,price_strike,price_open,price_high,price_low,price,volume,openinterest,iv,delta,preiv,gamma,theta,vega,rho,Ask,Bid,underlying_price,calc_OTM,option_id
2024-10-04 00:00:00.0,UCG 260619C00000960000A.XMIL,623,19123,2026-06-19 00:00:00.0,C,96.0,0.0,0.0,0.0,0.0189,0,0,0.269852,0.005282,0.269852,0.00122,-0.000162,0.006999,0.002858,0.001,0.001,38.82,147.3,
2024-10-04 00:00:00.0,UCG 260619C00001000000A.XMIL,623,19123,2026-06-19 00:00:00.0,C,100.0,0.0,0.0,0.0,0.0136,0,0,0.270832,0.003887,0.270832,0.000925,-0.000123,0.005323,0.002109,0.001,0.001,38.82,157.6,
2024-10-04 00:00:00.0,UCG 260619C00001040000A.XMIL,623,19123,2026-06-19 00:00:00.0,C,104.0,0.0,0.0,0.0,0.009,0,0,0.269613,0.002662,0.269613,0.000661,-8.7e-05,0.003787,0.001449,0.001,0.001,38.82,167.9,
2024-10-04 00:00:00.0,UCG 260619C00001080000A.XMIL,623,19123,2026-06-19 00:00:00.0,C,108.0,0.0,0.0,0.0,0.0066,0,0,0.270769,0.001988,0.270769,0.000505,-6.7e-05,0.002907,0.001084,0.001,0.001,38.82,178.21,
2024-10-04 00:00:00.0,UCG 260619C00001120000A.XMIL,623,19123,2026-06-19 00:00:00.0,C,112.0,0.0,0.0,0.0,0.0043,0,0,0.428851,0.043181,-1.0,0.004638,-0.00153,0.042266,0.021079,0.001,0.001,38.82,188.51,
2024-10-04 00:00:00.0,UCG 261218C00000024000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,2.4,0.0,0.0,0.0,36.426,0,0,0.457793,1.0,-1.0,0.0,0.0,0.0,0.018408,0.001,0.001,38.82,-93.82,
2024-10-04 00:00:00.0,UCG 261218C00000026000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,2.6,0.0,0.0,0.0,36.2266,0,0,0.457793,1.0,-1.0,0.0,0.0,0.0,0.018408,0.001,0.001,38.82,-93.3,
2024-10-04 00:00:00.0,UCG 261218C00000028000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,2.8,0.0,0.0,0.0,36.0271,0,0,0.457793,1.0,-1.0,0.0,0.0,0.0,0.018408,0.001,0.001,38.82,-92.79,
2024-10-04 00:00:00.0,UCG 261218C00000030000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,3.0,0.0,0.0,0.0,35.8276,0,0,0.457793,1.0,-1.0,0.0,0.0,0.0,0.018408,0.001,0.001,38.82,-92.27,
2024-10-04 00:00:00.0,UCG 261218C00000032000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,3.2,0.0,0.0,0.0,35.6281,0,0,0.457793,1.0,-1.0,0.0,0.0,0.0,0.018408,0.001,0.001,38.82,-91.76,
2024-10-04 00:00:00.0,UCG 261218C00000034000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,3.4,0.0,0.0,0.0,35.4286,0,0,0.457793,1.0,-1.0,0.0,0.0,0.0,0.018408,0.001,0.001,38.82,-91.24,
2024-10-04 00:00:00.0,UCG 261218C00000036000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,3.6,0.0,0.0,0.0,35.2291,0,0,0.457793,1.0,-1.0,0.0,-2e-06,0.0,0.018879,0.001,0.001,38.82,-90.73,
2024-10-04 00:00:00.0,UCG 261218C00000038000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,3.8,0.0,0.0,0.0,35.0296,0,0,0.457793,1.0,-1.0,0.0,-1.3e-05,0.0,0.019928,0.001,0.001,38.82,-90.21,
2024-10-04 00:00:00.0,UCG 261218C00000040000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,4.0,0.0,0.0,0.0,34.8301,0,0,0.457793,1.0,-1.0,0.0,-2.5e-05,0.0,0.020976,0.001,0.001,38.82,-89.7,
2024-10-04 00:00:00.0,UCG 261218C00000044000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,4.4,0.0,0.0,0.0,34.4311,0,0,0.457793,1.0,-1.0,0.0,-4.8e-05,0.0,0.023074,0.001,0.001,38.82,-88.67,
2024-10-04 00:00:00.0,UCG 261218C00000048000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,4.8,0.0,0.0,0.0,34.0321,0,0,0.457793,1.0,-1.0,0.0,-7.1e-05,0.0,0.025172,0.001,0.001,38.82,-87.64,
2024-10-04 00:00:00.0,UCG 261218C00000052000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,5.2,0.0,0.0,0.0,33.6331,0,0,0.457793,1.0,-1.0,0.0,-9.4e-05,0.0,0.027269,0.001,0.001,38.82,-86.6,
2024-10-04 00:00:00.0,UCG 261218C00000056000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,5.6,0.0,0.0,0.0,33.2341,0,0,0.457793,1.0,-1.0,0.0,-0.000117,0.0,0.029367,0.001,0.001,38.82,-85.57,
2024-10-04 00:00:00.0,UCG 261218C00000060000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,6.0,0.0,0.0,0.0,32.8351,0,0,0.456611,1.0,-1.0,0.0,-0.00014,0.0,0.031465,0.001,0.001,38.82,-84.54,
2024-10-04 00:00:00.0,UCG 261218C00000064000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,6.4,0.0,0.0,0.0,32.4361,0,0,0.456779,1.0,-1.0,0.0,-0.000163,0.0,0.033562,0.001,0.001,38.82,-83.51,
2024-10-04 00:00:00.0,UCG 261218C00000068000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,6.8,0.0,0.0,0.0,32.0371,0,0,0.453541,1.0,-1.0,0.0,-0.000186,0.0,0.03566,0.001,0.001,38.82,-82.48,
2024-10-04 00:00:00.0,UCG 261218C00000072000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,7.2,0.0,0.0,0.0,31.6381,0,0,0.454292,1.0,-1.0,0.0,-0.000209,0.0,0.037758,0.001,0.001,38.82,-81.45,
2024-10-04 00:00:00.0,UCG 261218C00000076000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,7.6,0.0,0.0,0.0,31.2392,0,0,0.453333,1.0,-1.0,0.0,-0.000232,0.0,0.039855,0.001,0.001,38.82,-80.42,
2024-10-04 00:00:00.0,UCG 261218C00000080000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,8.0,0.0,0.0,0.0,30.8402,0,0,0.450386,1.0,-1.0,0.0,-0.000255,0.0,0.041953,0.001,0.001,38.82,-79.39,
2024-10-04 00:00:00.0,UCG 261218C00000084000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,8.4,0.0,0.0,0.0,30.4412,0,0,0.450362,1.0,-1.0,0.0,-0.000278,0.0,0.044051,0.001,0.001,38.82,-78.36,
2024-10-04 00:00:00.0,UCG 261218C00000088000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,8.8,0.0,0.0,0.0,30.0422,0,0,0.449988,1.0,-1.0,0.0,-0.000301,0.0,0.046148,0.001,0.001,38.82,-77.33,
2024-10-04 00:00:00.0,UCG 261218C00000100000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,10.0,0.0,0.0,0.0,28.8452,0,0,0.445553,1.0,-1.0,0.0,-0.00037,0.0,0.052441,0.001,0.001,38.82,-74.24,
2024-10-04 00:00:00.0,UCG 261218C00000110000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,11.0,0.0,0.0,0.0,27.8477,0,0,0.441029,1.0,-1.0,0.0,-0.000428,4e-06,0.057686,0.001,0.001,38.82,-71.66,
2024-10-04 00:00:00.0,UCG 261218C00000120000A.XMIL,805,19123,2026-12-18 00:00:00.0,C,12.0,0.0,0.0,0.0,26.8502,0,0,0.438228,0.999992,-1.0,3e-06,-0.000486,3.4e-05,0.062941,0.001,0.001,38.82,-69.09,
